ID,O_Q63,O_Q80,O_Q91,O_Q92
3333,To protect Social security and to end Coronavirus.,It's not right and he should be auditted,Disabled,
3337,None,I don't believe that's antibodies business but his. It shouldn't matter,,
3345,His policies,Why do people like him get away with this while the average person pays far more.  It's time to close all loop wholes,,
3349,"He has the experience, the smarts, and he is a functioning adult.  Trump needs to get out of office.  We need to get America back to the world status that it was 4 years ago.",Very angry but not surprised.  His entire family has avoided paying taxes and committing tax evasion.,,
3360,he want a fair government,he doesn't like to pay taxes like most other americans,,
3361,He will listen to and consult with the experts to make the best decisions,It seems immeasurably unfair.,,
3363,There is not one,That does not surprise me since they have all the loop holes to go through to not pay taxes,,
3366,He cares about us!!!,No bad reaction. He took advantage of the system.,,
3369,"Honestly, anyone is better than Trump. His reign has us going in a terrifying direction.","If this information is accurate, this is absolutely infuriating.",,
3372,Not racist,Weird,,
3378,Free college for my children,I find it surprising but wasn't he donating all his wages for being president to charity,,
3379,Hes not trump,The rich get richer,,
3381,He is a good fit,Not surprised,,
3383,No,Trump,,Na
3385,He speaks directly to the public not rant and rave. He gives facts not gives facts as he sees them like Trump. He is calm and collected in adverse situations and doesn't rant and rave like he did in the debate. So much of what Trump has said has been proven wrong. How can you believe or depend on a person like that.,I think it's sad. The middle class seems to be making up for what  people like him don't pay with higher taxes,,
3392,there is none,"biden and his cohorts allowed for tax loopholes to gain votes, now complain when people like trump and pelosi take advantage of them",,
3395,There is no reason to consciously support Biden.,Everybody uses deductions to pay less taxes and you probably do. That is why they are there. If we did not have these deductions then you and I would be paying more taxes. Why don't we release Pelosi's and Biden's tax records? I bet that they used a lot of these deductions also.,Homebased Small Business Owner,
3397,Very good work,Positive,,Information Technology
3401,He will probably die in office.,I don't know enough to comment on this.,,
3416,there is none he has had 47 years to change the United States and is not a strong leader.,"this is his personal business, and every fake media outlet is reporting different numbers.",,
3423,He is honest and does not divide people.,Very sad to hear.  He probably used legal tax breaks.,,
3425,improve our country,it was very bad work for our country,,
3428,President Trump stands for this country our military and is not controlled by the liberals,It has already been proven false just another attack by the left wing,,
3429,He's not an incompetent pathological liar and is not an active threat to democracy in the US,"Not surprising, but it illustrates the broken tax code and it is irritating.",self-employed,
3434,He is honest...and not Trump and his minions,He is a con man and always has been,,
3447,He will save the country from the chaos and issues Donald Trump has made worse or created,It is unlawful and he should be prosecuted,,
3448,You want a woman to be President.,No interest on his taxes only on how he can run the country.,,
3449,no good reason,cheating scum bag,,
3450,Nothing unless you like socialism and Alinsky,"I think if tax laws allowed it,  he is smart to take advantage of it. He did not write the laws.",,
3454,he seems trustworthy,it is extremely  dishonest,,
3455,Joe Biden has better tax brackets.,"I don't know if it is true because it is just here say, I wouldn't be surprised if it was true.",self employed,
3459,Stable what the Republicans used to be,Not surprised,,
3460,He?s not Trump.,I?m not surprised. He?s a snake. A self-absorbed narcissist who can not be trusted.,Disabled,
3462,none,irresponsible,,
3474,Trump is a disaster.  The country is in crisis under his administration and will only get worse if he is elected.,Not pleased.  It sounds like many of his deductions were questionable,,
3476,He is a better man than Trump,No surprise he's a bad business man,,
3477,he is more understanding,Not suprised,,
3479,DOWN TO EARTH PERSON,THAT IS TERRIBLE  I PAY SO MUCH MORE THAN THAT AND I AM A LITTLE PERSON HARD WORKING,,
3487,He is a better speaker and less rude.,I was shocked but know there is more to the story especially since he doesn't take the salary he is given being President.,,
3489,"If I lose coverage for pre-existing conditions, I will be dead within a year.",I'm surprised he paid anything.  He is a scam artist.,,
3507,"Donald Trump, He is a well man and politician.",It is an extra ordinary efficiency in USA politics.,,Computer Hardware
3513,None,I haven't followed thst,,
3515,Would never support Biden.,Nothing to say on this matter.,,
3516,"The division in this country currently, is frightening","Of course, everyone's initial reaction is horror....as it should be. So let's fix the laws that allow this to happen",,
3518,because he is very good man so i like,must be federal taxes at all in some year paid.,,
3526,"He has experience and is level headed,coherent and sane.","Disgusted,disheartened,repulsed",,
3527,Can't think of any,Was it legal?,,Games & Dice
3531,nothing,this is not true and it should make no difference,,
3542,I can?t support he?s creepy,It?s unfair,,
3543,He understands how to unite the country instead of dividing it more.,It is appalling!,,
3546,There are no good reasons to support Biden,A lot of facts were left out,,
3552,There is NO reason to support Biden.  He is senile.  He is a radical liberal.,"So, who cares.  He has done everything legally. It's most important to pay attention to all the great things he has done for America, the middle class, Blacks and other minorities, trade deals, peace treaties, and on and on and on.",,
3553,No reason to support the lying POS,Fake news,,
3558,NONE,"That really is between him and the government.  If he did not have income, then it is okay.",,
3575,"He is the best candidate and cares about the middle class people.  Or better yet, just people in general!",Trump claims he paid millions of dollars in taxes.  When in fact his return only shows $750 in taxes.  Trump is a total liar.,,
3578,"Because he is honest, sincere and a true leader that is experienced and ready  to bring our country back together again. Joe Biden is a person if elected that we all can be proud to call our President.",I think it's awful and shows why he doesn't want us to see his taxes because he has been cheating for years. How shameful.,,
3580,gyihkjkh,dbfgzdf,,
3584,He supports values of the democratic party. He would bring respect back to the U.S.,"Solidified what we always suspected, but showed all Americans what a dishonest, self promoting incompetent person Trump is.",,
3589,I can't find any reasonto support mr  biden,The current tax laws as written allow it. You can't blaime a person from taking advantage of the  existing tax laws  So I think he is a very good business man.,,
3592,"He is an empathetic, strong person that has the necessary intelligence and experience to get this country to where it should be for it's people and the world.","Knowing that trump has been a tax cheat his whole adult life, I was not entirely surprised at this fact. It still makes me very angry that he can screw Americans by not paying his fair share!",,
3594,none,none,,
3596,That he will support my community and not increase the divisiveness that this country has achieved,Very upset but not shocked,,
3599,Biden will unite our country. He cares about the average man.,As president he should have released his tax returns. I don?t think it?s right for the wealthy to find and use the tax code to avoid paying taxes.,,
3603,Trump is stupid and a liar,he's an idiot and crook,,
3605,None,This does not make a difference to me.,,
3606,Healthcare,Privelage,,
3608,It is not he is incompetent,I don?t beleive it how can that be true or happen,,
3614,Donald Trump is an embarrassment and a bully.  He is disrespectful.  Joe Biden is soft spoken and cares about all Americans.  We need a good man to replace Trump so we can stand tall and proud together.,Unbelievable.  I have paid so much in taxes for over 50 years and I have never had breaks like this.  I make just a little too much to get a benefit or not enough to get all the deduction breaks.   Not happy at all.,,
3616,"That he is honest, and has empathy",I believe that he will be found guilty of tax evasion after he is removed from office.,,
3619,he's not crazy stupid,not really surprised though he should be held accountable.,,
3621,He doesn?t lie to the people with every word he speaks.,He makes millions of dollars and it is irritating that was all he had to pay. The tax code needs to be rewritten to remove the loopholes.,,
3625,"Because Trump is an incompetant, dangerous leader.  Biden has specific goals.  Trump only has ego.",Only Trump could hide so much income.  Its a disgrace and an insult to all Americans.,,
3632,THERE IS NO REASON TO SUPPORT BIDEN. HE IS NOT MENTALLY STABLE AND WOULD HAVE TROUBLE RUNNING THE COUNTRY WITH BEING THE PUPPET FOR THE DEMS.,i DON'T REALLY HAVE ONE.HE IS A BUSINESS MAN WHO EMPLOYEES MANY AND DOESN'T TAKE A SALARY.,,
3633,none,not my concern,,
3636,"To bring the country back to what we were before honest, and very calm","Very angry, however these are tax laws that are allowed.  The tax laws must be revised so that this is not fair to the middle class",,
3637,none,democrats wrote the rules,,
3642,He is not a bully like Trump. He is respectful of people.,I think it is very unfair because we pay alot more than that and only make 50k a year.,,
3648,i have no reason,i dont believe it,,
3649,The country is due for a change. Trump wants to take us to a direction of dictatorships .He is a bully and doses not want to listen to  anybody. He is a disgrace to the Republican party and   to the American people as a whole.,What makes him so special that he can get away without paying taxes. Why haven't the public officials requested that he produce his tax return.,,
3650,"There is no good reason to support Biden for president, he is a stupid idiot not fit to run a dog kennel",It is a lie any one with a half a brain could could figure that out,,
3652,I think he is very presidential in his actions and his words.,It makes me mad at how he plays the system and how dishonest he is.,,
3654,To end the COVID-19 crisis and end the divisions in this country,He is a cheat and a liar.  He has taken deductions that are questionable and possible illegal.  That implies that he is dishonest.  That is not a man to be leading this country.,,
3656,More personable,"It doesn't change the fact that Trump isn't a career politician  as Biden is and I believe Trump has the country's best interests at heart. He is crude and narcissistic, but he is the lesser of two evils.",,
3666,Because of his running mate Kamila Harris,I think Trump acted legally and is most qualified to be president,,
3672,I support Biden for President because I feel he has the best plan for healthcare and protecting the social security program.,This angers me as a taxpaying citizen.  Just because you can hire lawyers and accountants to find you loophole doesn't mean you have to use it.  I feel that he always touts he is America first and make America great but the way we all make America great is by paying our fair share of taxes so that there is money to invest back in our people and country.  TO me this show me that Trump isn't about making America great but about making Trump great.,,
3677,bring people together,complicated tax structure.  Not fair but legal,,
3682,"He's not crazy, racist or homophobic",not surprised,,
3688,He?s a real person not a television personality,I?m honestly not surprised Donald trump is such a con man,,
3690,I dont im voting for trump,who cares,,
3696,can unite the country not divide it,not overly surprising as big business know all to loopholes,,
3702,I believe he will make a great leader and understands the needs of the middle class and poor.  I also think President Trump has some mental issues and should not be re elected.,Angry.  He makes much more than the average wage earner and can afford to pay much more.  He should be paying his fair share and not using tax loopholes which should not be there in the first place.,,
3717,He is a proven performer with decency and normalcy who will bring us together.,Disgusting and not surprising since he is a cheat liar and manipulator.,,
3718,There is no best reason.,"Honestly, I have lost my faith in the news industry over the years. So many of the news franchises are obviously biased one way or the other and have connections with certain political parties that I have difficulty believing they can provide objective news/stories to the public. If Trump's federal taxes were released (under questionable circumstances) I would also be interested in seeing Biden's taxes (or other major players in the Democratic party) for comparison.",,
3719,Better option than Trump,"I paid more in taxed than this man did, he gets paid more money and makes an exaggerated amount of money from companies and other jobs. People like him and the one percent need to start paying for taxes if everyone else is.",,
3721,He is not pompous and seems to truly care about the American people.,"It is unfair and makes me angry. He is rich and cheating the system and the American people, but because he has power and money, he will be able to get away with it.",,
3723,There is no reason to support Joe Biden or Camilla Harris. I don't believe in BLM it should be ALM. I am appalled how the nation is allowing the racist comments of the BLM protesters to continue. I hope cities work Camilla lives and Joe lives deep on the police and their houses get broken into. The police should stop showing up for work to show them what it's like.,If you actually look into it and read information from tax professionals typical real estate developers have numerous ways of lowering their taxes. I don't care how much any president pays in taxes I think it's a ploy to make somebody look bad.how much you paying taxes doesn't determine if you're going to be a good president or not,,
3728,He has a better chance of reuniting the country.,It showed what a scam artist he really is.,,
3731,He is a good man,Tax cheat and liar,,
3743,Donal trump because of the health sector.,I think it is the best,,
3745,Social security  and Medicare  and covid 19,I feel some one like him is america's problem,,
3747,nothing,I think that he should have paid more than that in taxes,,
3751,He is more of a people person and not as abrupt,I don't care about this whether Trump paid taxes or not.  He proabably has lost money/investments like the rest of us.,,
3752,none,it is a lie made up by democrats,,
3757,Trump is a liar,Absolutely  appaling,,
3761,the important reason... get trump out,He should go directly to prison,,retail
3767,"Joe Biden is honest, cares about all Americans, and has the experience and expertise needed to do the job.  He is respectable.",Not surprised at all.  Millionaires and billionaires are good at hiring people to find the right tax loopholes that allow them to pay far less than their share.,,
3769,"His experience,honesty, and empathy.",I am outraged that a man who uses far more in tax payer funded services than the average American pays far less in taxes than we pay in taxes just for our groceries. It is insulting to every honest American.,,
3771,Better programs for poor people,"Good for him.  I want his accountant.  He knows all the loopholes and used them, legally.  That's the American way.",,
3773,"I believe Biden is much more likely to pull together and lead a team to get information, make decisions and implement procedures.","It is irritating beyond belief.  Maybe, MAYBE they were legal exemptions, but really???  I think his returns should be examined and he should be prosecuted for any illegal activity",,
3774,I can find no reason at all to support Biden for president,He's a business man and some years are better than others and he has lost money since he's president,,
3775,NONE would not be a good President,who did his taxes ????,,
3777,"No matter what his policies are, and I support some, I don't want a repulsive person like Trump as President. He wakes up every day looking for a fight and looking for somebody to pick on and bully. Trump is also way too compulsive and volatile, and lies constantly. Biden is an ethical, empathetic, caring person who will try and unite the country, who won't incite bad behavior and violence, and he's more a moderate vs a radical liberal, and that's the Democrat that I'd prefer.","It wasn't surprising, since he refuses to produce his tax records like other Presidents have done, and Trump thinks that just makes him smart. I think it's unfair for millionaires and billionaires to not pay any taxes, and the tax system should be reformed to change that.",,
3782,Honest,Crooked an dishonest,,
3783,Biden will increase handouts to anyone who wants them.,I find that extremely hard to believe.  Disbelief was my response.,,
3786,Nothing,Ok,,
3788,I have carefully compared Joe's interviews of 8 years ago with today...he is not up to the task and kamal Harris really scares me,Not a problem...what were Joe Biden's charitable contributions the last 7 years??,,
3793,might build better race relations,"it angers me, we pay a lot, he must have some very good accountatins",,gig worker
3795,Time for change,Not real at all.  He owes more than that with all the millions of $ he has,,
3797,none,none,,
3799,he's the best one!!!,i was pissed off big time!!!,,
3802,He is a good person and leader,this ts frustrating,,computer hardware
3804,"He actually knows what he's doing as opposed to the idiot holding office at the moment. Because of Trump's unwillingness to admit any sort of weakness, we are in a pandemic that maybe could have been less dangerous.",You really don't want to know.,,
3824,I think he may have a better idea on how to tackle Covid 19,"At first I was really not sure, it seemed crazy to me, and then I did hear that he had paid something much higher, but honestly do not know",,
3825,Trump is a train wreck,Unbelievable but likely as he has massive business losses and tax write offs,,
3831,I'm afraid I have no reason to support him even though neither candidate is a good one.  He's made a lot or promises but has not disclosed the how he's going to keep them.  No real plans have been disclosed.  You can say you're going to do something all you want but how are you going to execute.  His ideas are all very expensive.  How is he going to pay for them?,Can't believe everything the news puts out.  If I did Biden would be a pervert.  But he's not.  You never get the whole story.,,
3832,to remove Donald Trump who is the worst President USA has ever had,according to Trump this is fake news which is how he explains everything said about him,,
3836,That's he'll unite the country again and help not just the poor but the middle class as well ??,Well I think that's total bullshit. The man is a billionaire how in the world does he get away with paying only $750 in fucking taxes!!!,Self employed work from home ??,
3839,"He will not divide the country, bully people, support racists and racist groups and lie in our face.",It shows that he is cheating person. Someone not committed to doing his fair share.,,
3844,"These last four years have been pure chaos because Trump is unfit to be president.  There has been one thing after another on the news that he has screwed up.  He is a liar and a puppet for Putin.  It is difficult to pick only one reason to support Biden for President, but if I had to sum it up, it is that I would like to sleep better at night knowing that my country is in capable hands.",I feel like I have been cheated.  Rich people should pay their fair share.,,
3851,Are you kidding me?  Are you guys high?,I don't care how much he paid in taxes.  I am sure that its a lie.  Donald Trump took advantage of tax policies that Biden created so Biden can shove it!,,
3855,Nothing  he to old,This  is bullshit,,
3856,I would never support Joe Biden.  He seems so out of touch that he could never be in control enough to keep the countrys best interests at the forefront.  He has dementia.,Trumps donates lots of money and I'm sure took business losses on which he paid no taxes.  More important he is good for America.,,
3858,Joe Biden understands those of us who are not rich but are the major portion of the people in this country.,This is news I was not surprised to hear as Trump is a crook and a cheat in everything he has ever done.  No one should expect him to pay his fair share of taxes as he thinks he is above the laws written for the little guys.,,
3866,"BECAUSE DONALD TRUMP HAD TOLD THE PEOPLE TO DRINK BLEACH IF THEY HAD CORONAVIRUS ,AND BLEACH WOULD KILL YOU",I REALLY DON'T KNOW,,
3876,He's not Trump.,Sick,,Truck driver
3880,trump is a liar and cares only for himself,it is wrong for any billionaiors to do that,,
3911,I have many but he will unite the country and and deal with our crisis with covid,if this is true i find it appalling that he has not paid his share,,
3922,"He isn?t a racist, homophobic, sexist evil man who makes America look like a joke and is killing thousands of people due to Covid (unlike Trump)",Disgusted and Angry but also not surprised because it?s Trump,,
3928,Feel he is trust worthy,Can?t believe it,,
3929,I believe he can unite our country again.,I feel Donald Trump is not being fair by avoiding taxes that every American worker must pay.,,
3935,i feel like he has a better plan for corona virus,i think that it is a little unfair that people are struggling and he only paid $750,,logistics
3937,He has Americans best interest in mind,It is so crazy to me that he was able to find ways around taxes and pay such a low amount.,,
3942,There is NO REASON to support Biden.,He did what everyone else does in  their business--use all the IRS tax exemptions available.,,
3948,I can?t suppport Biden but the best reason would be because Trump is a self centered untruthful person concerned more z out himself and his business than the average  American person.,Appalling. It?s why he has hidden this from the public to date. People struggling to make ends meet yet paying more of their income in taxes is a kick in the teeth to the average American worker,,
3951,He has more experiencein politics,Not surprised,,
3952,there is none at all hes not in tubne with the peoplle,so all americans do thaT why should he be diffrent then every one eles,,
3954,He cares about the people,Doesn't surprise me,,
3956,there is none. He has made a living off of the american people for 47 years and has nothing he can really stte that he has done,He used the tax laws that buy the way biden also used and he was part of the swamp that passed this . so no I do not have a problem with it. He had someone else do his taxes and himself.,self employeed,
3960,I believe that he will be honest with the american people and unite the country while leading us back to a good economy,"I feel that it possibly was done legally, but by going through loop holes that need to be closed. Also, he should show all of his tax returns",,
3963,none,all lies,,retail
3965,None,He owns a variety of businesses.  Past Presidents and Congresses passed tax laws that allowed corporations to use loopholes to minimize tax burdens. Things that need to be addressed in the future.,Disabled,
3967,"Has a lot of experience. Was a great Vice President. He'll be honest with the American people. He truly cares about America and unlike Donald Trump he thinks it's not what his country can do for HIM, but what he can do for our country. He will listen to his cabinet members and be open to their input, even when they disagree with him He won't just fire them like he's running a TV show. He will rebuild ties with our allies and discontinue ties with our enemies. Will make an effort to reunite our country and support Black Lives Matter along with police reform. Is concerned with global warming and climate change.",It's disgusting. Especially when he says he's the smart one. We all pay our fair share and don't try to cheat the system.,,
3970,He makes the best promises,Not a surprise,,
3981,there is none,How do I know that is true,,
3991,"I feel he is genuine about his feelings and wanting to President of all people regardless of sex, color, religious affilation or part as well as his compassionate feelings","It was a shock to know someone making the kind of money he has to pay much less taxes then the average worker , or no taxes at all",,
4000,Climate change,Not surprising,,
4008,None,Insane,,
4010,None,"I wish I had his tax lawyer , he?s a good businessman.",,
4017,none the guy is a joke,don't believe it,,
4022,Biden has the ability to find the middle ground and restore civility.,Not Surprised,,
4023,there isnt one,Do not care. Not confirmed and don't care either way,,
4025,If you want the country to be more socialized vote for him.,If the tax code allows it he would be stupid to not use it.,,
4027,He isn't insane like Trump,No wonder why he refuses to show hus tax returns. He doesn't want people to know the truth.,,
4028,Not Trump,frustrated but not surprised,,
4031,I don't see any reason to vote for him.,It didn't surprise me because if you can pay less tax you are going to do it.,,
4035,no reason to support,the article was not accurate at all. It did not take into account what he paid on his extension,,
4040,He represents the opportunity for positive change,Not surprised because he's a con man and will eventually unravel,,
4043,He can do the job,I pay twice as much and can barely afford rent. It pisses me off.,,
4044,"If you are a left leaning democrat, he will be easier to control because he flips to the most popular party trend when pressured, otherwise nothing.","First of all I don't believe it.  It is supposed to be protected information.  Right or wrong, if the loop holes are there, shame on congress who control the purse strings.  If they close the loop holes, we wouldn't be borrowing so much.  You don't punish someone for being smart.  He is donating a $250,000 salary every year, so it probably lowers his tax requirements.",,
4051,Honesty,Wrong,,
4052,For me there is no reason to support Him for President.,"Doesn't bother me at all, just the way of the ricj Biden's Son got millions pay to play. Both sides are corrupt.",,
4055,I dont know,The fact that he is not taking a salary as president of the united states should mitigate those taxes,,
4058,He is the best candidate for the job,"Unsurprising, but still makes me angry",,
4060,good,good,,
4070,"He?s competent, experienced and cares for the American people",I am not surprised at all,,
4071,Honest and sane,Not surprised he is greedy and only out for himself,,
4074,There is no reason to support someone who is so liberal and old and did nothing for so long in government,He is a smart businessman and as long as he used legal deductions and admire him for not overpaying on taxes he didn?t owe.,,
4080,I wouldn't support him for any reason.,The information is not believable. It's only to defame him.,,
4082,Better than Trump and can't be any worst than what we have now.,The tax system is failing the American people when Trump makes millions and pay hardly any tax and the average tax payer is making up for Trump.,,
4085,I cannot vote for someone not willing to specific questions,I understood he had write offs no big deal,,
4086,Get rid of Trump,Less than I paid,,
4091,He?s not insane,I?m not surprised,,
4095,No reason.,Good tax planning.,,
4097,Biden has fewer credible rape accusations against him than President Trump does.,Distraction,Self-employed gig worker ant,
4104,Anyone is better then having trump for another 4 years,Anger and frustration,,
4109,he's a little more polished than trump,don't trust much information that comes out because it's hard to determine what the truth is,,
4114,Because Trump is dangerous for everyone. We won't recognize this country after four more years of Trump.,Not surprise but that doesn't mean I'm not angry about it. Billionaires need to pay more taxes. Period.,,
4118,Doesn't lie like trump,Despicable,,
4124,"no reason, he is incompetant",It is not true,,
4125,I don't  have a good reason to support  Joe Biden he hasn't done anything in 47 years why would I believe anything he says.  The worst time in my life were the Obama/Biden years for jobs Healthcare everything,Who really cares I sure don't,,
4126,He?s for the people. Especially the middle class and lower class,The man is alias and a heat. He should not become president again,,
4130,Social security,No reaction... not my issue,,
4132,he is to old and There is no reason in the World to vote for him,False news,,
4137,He is not Donald Trump,I owe the IRS money and I'm poor.,,
4138,"biden stands for what i want my country to be like, the total opposite of what trump stands for",not a surprize at all,,insurance
4142,if you are a pedophile or part of the illuminati,As per usual the New York times and the rest of the left wing mainstream media has not told the entire story.  In 2016 and 2017 Trump was in a tax credit situation and the $750 was the balance due in addition to the millions he had already paid.,,
4143,Joe biden,Good,,
4148,"He will work to stop the degradation of our environment vis-a-vis climate change, AND he will appoint people to important jobs in his administration who are actually qualified to hold those positions, and he will listen to them.",I'm not at all surprised. That he's fought so hard to keep that information from the public was always strongly suggestive that they would not appear favorable to him.,"mostly retired, but I do occasional freelance work.",
4149,"He is honest, a leader, experienced and fair.","Disgusting, disgraceful and inexcusable",,
4150,Can?t think of any,I believe this is a media witch hunt and probably incorrect.,,
4152,He will be a better leader,Disgusting,,
4155,He will fight for in keeping social security going,Disgust. I feel trump should be audited and pay back taxes from least back 5 yrs,,
4157,Trump is the better of the two,Lies,,
4158,Because he will be replaced by Kamala Harris in under a year due to his declining mental health,"They never took into account that Trump overpaid his taxes the year before and that the IRS accepted this overage as a ""pre-payment"" for the following year.",,
4163,He is actually sane and has presidential experience,Corrupt!,,
4167,future of America,not sure i believe  .but if so not right,,
4168,He wants to increase social security payments by $1300/ month.,It kind of surprised me but he is human and has been having financial loss problems.,Disabled,
4171,Because it is not about him but about us!,If that was anyone else they would had lost everything.,,
4172,Because he cares about the people.,Absolutely dispicable,,
4177,BEcause he is not trump,It does not surprise me.,,
4178,"HE HAS THE KNOWLEDGE AND PERSOALITY TO BE OUR PRESIDENT.  HE KNOWS WHAT IT TAKES TO RUN THIS COUNTRY AND IS READY TO GIVE IT HIS ALL. HE KNOWS WHEN TO GET HELP WITH THINGS HE MAY NOT BE EXPERT ON. HE KNOWS WHEN TO TRUST. MOST IMPORTANTLY, HE KNOWS NOT TO LIE TO THE AMERICAN PEOPLE.","NOT SURPRISING.  MOST OF THE VERY RICH DO THAT. WHAT IS UNFORGIVABLE, IS THAT HE HAS DONE IT TO SUCH AN EXTENT. IT IS ALSO UNFORGIVABLE THAT HE THEN LIES (NOT A BIG SURPRISE) AND SAYS HE HAS PAID MILLIONS.",,
4180,He will unite the country & get the job done.,Does not surprise me at all. He has had a problem with releasing his taxes which proves he had something to hide. I pay more taxes than he does.,,Medical transport driver
4181,He is just a better human being overall.  Seems willing to work across party lines and isn't a bully.,"It doesn't surprise me.  He has been cheating in business for many years with all his bogus bankruptcy filing to get out of paying trades who built his hotels, etc.",,
4184,caring person,Laughed,,
4191,Joe will get the job done he knows how to speak to other countries he's there to do the job for America not for himself,I am not aware of the situation so I cannot speak on it,,
4192,Joe Biden has the ability to be president and the character to restore our image in the eyes of the country and the world.,"I was not surprised, but it was still a shock to know it for sure.  He is a crook and a con-man and this is another way to prove it.",,
4195,no reason,"don't care, everyone uses loopholes, as long as it was legal.",,
4208,He's a gentleman and he loves the USA.,He cheats. He used loop holes to cheat. Wondering who else did that.,,E-commerce
4209,He is a man with common sense and not a complete dumbass clown like trump.,Disgusted,,
4212,None,Not fair to the rest of us,,
4214,Not childish. More presidential.,It doesn't bother me. I understand how businesses work in regard to tax deductions.,,
4215,He cares about all Americans from all walks of life.,Quite shocking actually.,,
4216,That he's NOT President Trump!,"It's outrageous that he only paid $750.  He should have to pay a penalty for lying about it, too.",,
4230,He?s not Donald Trump,Upset,,Cabinet distribution
4237,I am not a FAN of RUMP oops I meant Trump,It doesn't surprise me because I believe that man is nothing but a big huge fat LIER,,
4240,"He cares about the average American.  He will unite us, not divide us.",He's a liar and a cheat,,
4241,I stand for everything he says. He's honest and real.,Shameful and wrong,,
4243,He is what our country needs to repair all the damage that trump has costs,This is illegal and disgusting and he should be in jail but it does not surprise me,,freelancer
4245,none hes old and creepy,overblown and the whole story was not told,,
4248,I cannot think of any reasons to support Joe Biden.,There is much more to this talking point.   It is very misleading and dishonest.,,
4251,Not to support a Crooked pedofile,I don't care about it it's none of my business,,
4252,I DO NOT support Biden,propaganda,,
4259,Nothing he's not capable to run the Country He has to wear a wire for the Debates and half the time He doesn't know where he is and his wife should be arrested for Elder Abuse and Abortion isn't Health Care,I don't care he hasn't taken a paycheck in the 3.5 years he's been in Office and he abided by Obama tax codes and He doesn't Spend money Foolishly like Obama and The First Lady didn't need half as Many people as Michelle Obama So I really don't care,,
4262,"Because Joe Biden will do everything that needs to be done to get coronavirus under control. Donald Trump will not and it will affect all of us - some will die, some will lose jobs and the economy will not recover until coronavirus is under control.",Disgusted but not surprised. He'll do anything to make and keep his money.,,own website
4265,I can't think of any reasons.,I'm fine with anyone using tax laws to their benefit. $750 is more federal tax than a lot of citizens pay.,,security
4266,none,no problem.there are so many politians who have not paid taxes,,
4267,Wisdom comes with age,That's great!! I will follow his footsteps to MAGA!!! TRUMP 2021,,Motorsports
4270,He is a decent human beung,I was shocked and appalled since I paid more than him and make way less,,
4274,His experience as a Senator and Vice-President.,I congratulate him on accomplishint that.  I try to reduce/eliminate my tax bill every year as much as I can so that I don't have to pay taxes (even though I can't get my taxes down to zero.),,
4285,"There is none! There is nothing that can make me vote for him, or his running mate.","It was a lie, and has been proven. He paid millions. However, the Bidens owe a ton. Why is the news one sided?",,Mail delivery
4286,"He had eight years on the job training as the man who was a heartbeat from the President. He gleaned a great deal from, and worked well with President Obama. He has experience and respect among world leaders.",I was not surprised. We have been warned about his questionable business and personal practices for many years. I believe it.,,
4288,if he promises to do what he says he going to do for the american people,Really?  doesnt surprise me  lol,,
4290,get rid of trump,knows how to cheat the system,,
4293,Because he is not trump,This shit doesnt even surprise me anynore. The rich are swallowing everyone else alive,,
4296,He fits the job way better than Trump,The rich get richer!,,
4297,he has a level head and he was our v p for 8 years,Makes me very angry,,
4299,he wants to protect social security,why would anyone not take advantage of any deductions they qualified for?,,
4302,No reason,Not sure if it's true but don't really care,,
4309,He is a hard working American,It doesn?t surprise me bc he?s a low life,,
4313,"He is honest and reasonably competent, unlike his rival.",It was no surprise to me.,,
4317,He will be able to make the US a world leader again.,Have not seen all the info on his taxes so why he paid so little would be shown with all the information released.,,
4320,"More for the average, middle class person",It is appalling to me,,
4325,I can'ta really think of any reason to vote for Joe Biden.,He has very good accountants.  I pay taxes every year.,,
4331,There is no good reason to support Joe Biden for President.  He has had to other failed Presidential Campaigns that ended because of major issues like Plaigurism,I don't like it but as long as he complied with current US TAx law he did nothing wrong.,Disabled,
4336,I think he will do more for americans,he should have to pay his taxes,Ssi disability,
4342,None,Fake news,,
4346,Democratic Party,Enraged,,
4356,BECAUSE TRUMP IS A PSYCHOPATH,"I am not surprised or shocked at anything this man has done, will do, has said or will say. He is PURE EVIL.",,
4363,brings sanity to the office of president,disgusting that a family of rich try every trick not to pay taxes but spends taxpayer money for stupid budget items,,
4368,He would be a level headed leader that will not undermine the American people and would be much better suited to unite all citizens against hatred,Nothing that Trump does Surprises me anymore..the Republicans are all blinded by his dishonesty and lying ways so that all that he does goes unpunished,Disabled,
4375,"He is an honest, good, qualified person.",What a crook!!,,
4382,None,He should have paid them but I don?t think any less of him,,Quality control
4386,He is not trump,He's always been dishonest so it didn't surprise me. He believes he's above the law.,,
4387,I support Biden because Trump is a total disaster.  He is the worst President in the history of the United States.,He is a tax cheat and a fraud.  He should rot in jail for the rest of his life.,,
4388,His corvette,H&R block is a rip off,,
4395,Sniffy,All business do the same thing nothing new,Disabled,
4397,There is none,I don't care what he pays. It doesn't matter.,,Surveys
4400,Change,"Not all the information came out, only some of it, as usual.",,
4404,Health Care,Anyone who pays taxes is entitled to explore legal means of lowering the amount of tax they pay. And to go on...that doesn't include all the taxes through employment of people that created.,Unable to work due to health issues.,
4411,there is no reason to support him do the research he is a liar,do your research that was a lie,,
4413,Bring America together again,Angry but not surprised,,
4424,need a person to support our nation to other nations appropriately,did not surprise me as held tax report back,,
